Name,Platform,Publisher,Developer,Genre,Rating,Year_of_Release,Critic_Score,Critic_Count,User_Score,User_Count,Global_Sales
Test Drive,PS2,Atari,Pitbull Syndicate,Racing,T,2002,73,19,7.4,23,1.34
Devil May Cry 4,X360,Capcom,Capcom,Action,M,2008,84,61,8,248,1.34
Tom Clancy's Rainbow Six: Vegas 2,PS3,Ubisoft,Ubisoft Montreal,Shooter,M,2008,81,32,7.9,93,1.34
Metroid: Other M,Wii,Nintendo,Team Ninja,Action,T,2010,79,71,6.5,482,1.34
Crysis 2,X360,Electronic Arts,Crytek,Action,M,2011,84,72,7.5,533,1.34
Chrono Trigger,DS,Square Enix,TOSE,Role-Playing,E10+,2008,92,57,8.9,440,1.34
Marvel vs. Capcom 3: Fate of Two Worlds,PS3,Capcom,Capcom,Fighting,T,2011,84,56,7.3,147,1.34
Mortal Kombat 3,GEN,Acclaim Entertainment,,Fighting,,1994,,,,,1.34
Doom 3,XB,Activision,Vicarious Visions,Shooter,M,2005,88,71,7.4,116,1.34
Tom Clancy's Rainbow Six: Siege,XOne,Ubisoft,Ubisoft Montreal,Shooter,M,2015,74,24,6.9,252,1.34
F1 2010,PS3,Codemasters,Codemasters Birmingham,Racing,E,2010,84,46,7.8,83,1.34
Monster Hunter Freedom,PSP,Capcom,Capcom,Role-Playing,T,2005,71,34,8.6,78,1.34
Donkey Kong Jungle Beat,GC,Nintendo,Nintendo,Platform,E10+,2004,80,49,8.3,30,1.34
Need for Speed Carbon,PS2,Electronic Arts,EA Canada,Racing,E10+,2006,74,26,8.4,60,1.34
Lost Planet: Extreme Condition,X360,Capcom,Capcom,Shooter,T,2006,79,76,7.1,187,1.34
Command & Conquer: Red Alert 2,PC,Electronic Arts,,Strategy,,2000,,,,,1.34
NBA 2K15,PS3,Take-Two Interactive,Visual Concepts,Sports,E,2014,,,3.5,22,1.34
Max Payne 2: The Fall of Max Payne,PS2,Take-Two Interactive,Rockstar Vienna,Shooter,M,2003,73,27,8.2,63,1.34
Battlefield: Bad Company,PS3,Electronic Arts,EA DICE,Shooter,T,2008,84,50,8.1,203,1.34
MVP Baseball 2004,PS2,Electronic Arts,EA Sports,Sports,E,2004,90,28,8.6,51,1.34
Yokai Watch 3,3DS,Level 5,,Action,,2016,,,,,1.33
Ratchet & Clank: Up Your Arsenal (Weekly american sales),PS2,Sony Computer Entertainment,,Platform,,2004,,,,,1.33
Alan Wake,X360,Microsoft Game Studios,Remedy Entertainment,Action,T,2010,83,100,8.1,1156,1.33
Spider-Man: The Movie,GBA,Activision,,Action,,2002,,,,,1.33
WWF War Zone,N64,Acclaim Entertainment,,Fighting,,1998,,,,,1.33
Tony Hawk's Pro Skater,GB,Activision,,Sports,,2000,,,,,1.33
The Sims: Bustin' Out,GBA,Electronic Arts,,Simulation,,2003,,,,,1.33
Triple Play 2001,PS,Electronic Arts,,Sports,,2000,,,,,1.33
Metroid Prime 2: Echoes,GC,Nintendo,Retro Studios,Shooter,T,2004,92,60,8.8,279,1.33
The Elder Scrolls V: Skyrim,PS4,Bethesda Softworks,,Role-Playing,,2016,,,,,1.33
Corvette,PS2,TDK Mediactive,Steel Monkeys,Racing,E,2004,57,15,6.5,21,1.33
WWE SmackDown vs Raw 2008,PS3,THQ,Yuke's,Fighting,T,2007,74,27,7.3,41,1.33
Skylanders SWAP Force,X360,Activision,Vicarious Visions,Platform,E10+,2013,83,37,5.7,45,1.32
Grand Theft Auto: Chinatown Wars,DS,Take-Two Interactive,Rockstar Leeds,Action,M,2009,93,85,8.3,280,1.32
UFC Undisputed 2010,X360,THQ,Yuke's,Fighting,T,2010,84,70,6.7,80,1.32
World of Warcraft: Wrath of the Lich King,PC,Activision,Blizzard Entertainment,Role-Playing,T,2008,91,47,7.5,930,1.32
Gyromite,NES,Nintendo,,Puzzle,,1985,,,,,1.32
TOCA 2: Touring Cars,PS,Codemasters,,Racing,,1998,,,,,1.32
NFL 2K3,PS2,Atari,Visual Concepts,Sports,E,2002,93,20,7.4,25,1.32
Assassin's Creed III: Liberation,PSV,Ubisoft,Ubisoft,Action,M,2012,70,71,7.2,318,1.32
Fighting Force,PS,Eidos Interactive,,Fighting,,1997,,,,,1.32
Petz Wild Animals: Dolphinz,DS,Ubisoft,Magic Pockets,Simulation,E,2007,,,tbd,,1.32
Mega Man Battle Network 4: Red Sun / Blue Moon,GBA,Capcom,,Role-Playing,,2003,,,,,1.32
Your Shape: Fitness Evolved,X360,Ubisoft,Ubisoft Montreal,Sports,E,2010,73,32,7.5,25,1.32
Need for Speed Underground Rivals,PSP,Electronic Arts,Team Fusion,Racing,E,2005,74,36,8.5,38,1.32
Madden NFL 97,PS,Electronic Arts,,Sports,,1996,,,,,1.32
The ICO & Shadow of the Colossus Collection,PS3,Sony Computer Entertainment,,Adventure,,2011,,,,,1.31
TNN Motor Sports Hardcore 4x4,PS,ASC Games,,Racing,,1996,,,,,1.31
MAG: Massive Action Game,PS3,Sony Computer Entertainment,,Shooter,,2010,,,,,1.31
IHRA Drag Racing 2,PS2,Bethesda Softworks,Bethesda Softworks,Racing,E,2002,,,7.4,63,1.31
Rage,PS3,Bethesda Softworks,id Software,Shooter,M,2011,81,37,6.2,353,1.31
LEGO Harry Potter: Years 1-4,PS3,Warner Bros. Interactive Entertainment,Traveller's Tales,Action,E10+,2010,79,42,8,52,1.31
Madagascar,PS2,Activision,Toys for Bob,Platform,E10+,2005,69,25,7.4,25,1.31
The Witcher 3: Wild Hunt,XOne,Namco Bandai Games,CD Projekt Red Studio,Role-Playing,M,2015,91,13,9.2,3963,1.31
Rugrats Studio Tour,PS,THQ,,Adventure,,1999,,,,,1.31
Pitfall II: Lost Caverns,2600,Activision,,Platform,,1983,,,,,1.31
Turok: Evolution,PS2,Acclaim Entertainment,Acclaim,Shooter,M,2002,61,20,7.3,27,1.31
[Prototype],X360,Activision,Radical Entertainment,Action,M,2009,78,83,7.8,356,1.31
Burnout 3: Takedown,XB,Electronic Arts,Criterion Games,Racing,T,2004,94,76,7.2,139,1.31
The Beatles: Rock Band,X360,MTV Games,Harmonix Music Systems,Misc,T,2009,89,76,8.6,127,1.3
Adventure,2600,Atari,,Adventure,,N/A,,,,,1.3
Yu-Gi-Oh! The Sacred Cards,GBA,Konami Digital Entertainment,,Role-Playing,,2002,,,,,1.3
NBA Live 07,PS2,Electronic Arts,EA Sports,Sports,E,2006,63,12,6,39,1.3
Yoshi's Woolly World,WiiU,Nintendo,Good-Feel,Platform,E,2015,78,83,8.5,376,1.3
Skylanders Giants,X360,Activision,Toys for Bob,Action,E10+,2012,80,35,6.6,38,1.3
SingStar '80s,PS2,Sony Computer Entertainment,SCEA,Misc,T,2005,78,22,8.3,6,1.3
Romancing SaGa 3,SNES,SquareSoft,,Role-Playing,,1995,,,,,1.3
Test Drive 5,PS,Accolade,,Racing,,1997,,,,,1.3
Tekken 6,X360,Namco Bandai Games,"Namco Bandai Games America, Namco Bandai Games",Fighting,T,2009,80,59,7,132,1.3
Assassin's Creed Syndicate,XOne,Ubisoft,Ubisoft Quebec,Action,M,2015,78,22,6.1,402,1.3
Digimon World,PS,Namco Bandai Games,,Role-Playing,,1999,,,,,1.3
Far Cry 4,PS3,Ubisoft,Ubisoft Montreal,Shooter,M,2014,,,7.3,113,1.29
Pokemon Ranger: Guardian Signs,DS,Nintendo,Creatures Inc.,Role-Playing,E,2010,68,25,8.2,25,1.29
LEGO Batman: The Videogame,PS3,Warner Bros. Interactive Entertainment,Traveller's Tales,Action,E10+,2008,75,24,7.7,33,1.29
Mega Man Battle Network 3 Blue / White Version,GBA,Capcom,,Role-Playing,,2002,,,,,1.29
Resident Evil Zero,GC,Capcom,,Action,,2002,,,,,1.29
High School Musical 3: Senior Year DANCE!,Wii,Disney Interactive Studios,,Misc,,2008,,,,,1.29
Crysis 2,PS3,Electronic Arts,Crytek,Action,M,2011,85,54,7.2,406,1.29
Pirates of the Caribbean: The Curse of the Black Pearl,GBA,TDK Mediactive,Pocket Studios,Platform,E,2003,49,10,6.2,5,1.29
Mario & Luigi: Partners in Time,DS,Nintendo,,Role-Playing,,2005,,,,,1.29
Namco Museum DS,DS,Atari,M2,Misc,E,2007,67,19,5.9,8,1.29
Deal or No Deal,Wii,Zoo Games,Artefacts Studio,Misc,E,2009,56,4,5,5,1.29
Transformers,PS2,Atari,Melbourne House,Shooter,T,2004,75,51,8.6,27,1.29
Dying Light,XOne,Warner Bros. Interactive Entertainment,Techland,Action,M,2015,74,26,7.8,387,1.29
Fallout 4,PC,Bethesda Softworks,Bethesda Game Studios,Role-Playing,M,2015,84,38,5.4,7512,1.29
Sonic Colors,DS,Sega,Dimps Corporation,Platform,E,2010,79,26,7.9,66,1.29
Assassin's Creed: Rogue,PS3,Ubisoft,Ubisoft Sofia,Action,M,2014,72,53,7.5,292,1.29
EA Playground,Wii,Electronic Arts,EA Canada,Sports,E,2007,66,32,7.6,30,1.29
Midnight Club 3: DUB Edition (America weekly sales),PS2,Take-Two Interactive,,Racing,,2005,,,,,1.29
Gold's Gym: Cardio Workout,Wii,Ubisoft,Ubisoft,Sports,E,2008,,,8.4,13,1.28
The Elder Scrolls Online,XOne,Bethesda Softworks,ZeniMax Media,Role-Playing,M,2015,77,11,8.4,613,1.28
Champions of Norrath,PS2,Sony Online Entertainment,Snowblind Studios,Role-Playing,T,2004,85,51,8.4,57,1.28
LEGO Batman: The Videogame,PSP,Warner Bros. Interactive Entertainment,Traveller's Tales,Action,E10+,N/A,73,5,7.4,10,1.28
Yakuman,GB,Nintendo,,Misc,,1989,,,,,1.28
Army Men 3D,PS,3DO,,Action,,1999,,,,,1.28
Imagine: Wedding Designer,DS,Ubisoft,"Lexis Numerique, Virtual Toys",Simulation,E,2008,,,tbd,,1.28
Twisted Metal 4,PS,989 Studios,,Racing,,1999,,,,,1.28
Manhunt,PS2,Take-Two Interactive,Rockstar North,Action,M,2003,76,47,8.3,136,1.28
Need for Speed Carbon,Wii,Electronic Arts,EA Canada,Racing,E10+,2006,67,21,7.3,26,1.28
Silent Hill 2,PS2,Konami Digital Entertainment,KCET,Action,M,2001,89,34,8.9,557,1.28
Castlevania: Symphony of the Night,PS,Konami Digital Entertainment,Konami,Platform,T,1997,93,12,9.4,358,1.27
Guitar Hero: Aerosmith,Wii,Activision,Vicarious Visions,Misc,T,2008,73,16,7.2,19,1.27
The LEGO Movie Videogame,X360,Warner Bros. Interactive Entertainment,TT Games,Action,E10+,2014,69,8,7.2,26,1.27
The Sims 2: Nightlife,PC,Electronic Arts,Maxis,Simulation,T,2005,76,31,6.6,71,1.27
Dark Souls II,PS3,Namco Bandai Games,From Software,Role-Playing,T,2014,91,69,8.1,1107,1.27
Kid Icarus: Uprising,3DS,Nintendo,"Opus, Project Sora",Action,E10+,2012,83,75,8.7,487,1.27
Pokemon Mystery Dungeon: Gates to Infinity,3DS,Nintendo,"Nintendo, Spike Chunsoft",Role-Playing,E,2012,59,46,6.3,134,1.27
LEGO Batman: The Videogame,PS2,Warner Bros. Interactive Entertainment,Traveller's Tales,Action,E10+,2008,77,8,8.9,17,1.27
Road Rash,PS,Electronic Arts,,Racing,,1995,,,,,1.27
Atlantis,2600,Imagic,,Shooter,,1981,,,,,1.27
NBA 2K9,X360,Take-Two Interactive,Visual Concepts,Sports,E,2008,84,32,7.2,44,1.27
Tony Hawk's Underground,XB,Activision,Neversoft Entertainment,Sports,T,2003,85,33,9.1,26,1.27
Hogan's Alley,NES,Nintendo,,Shooter,,1984,,,,,1.27
Metal Gear Solid V: Ground Zeroes,PS4,Konami Digital Entertainment,Kojima Productions,Action,M,2014,75,70,6.2,1311,1.27
Mystery Case Files: MillionHeir,DS,Nintendo,Griptonite Games,Adventure,E,2008,65,28,tbd,,1.27
.hack//Infection Part 1,PS2,Atari,CyberConnect2,Role-Playing,T,2002,75,35,8.5,60,1.27
Jillian Michaels' Fitness Ultimatum 2009,Wii,Deep Silver,3G Studios,Sports,E,2008,30,4,2,23,1.27
Valkyria Chronicles,PS3,Sega,Sega,Role-Playing,T,2008,86,60,8.6,433,1.27
WWE '12,X360,THQ,Yuke's,Fighting,T,2011,71,52,6.3,89,1.27
Sonic Adventure DX: Director's Cut,GC,Sega,Sonic Team,Platform,E,2003,57,27,7.9,139,1.27
Jet Li: Rise to Honor,PS2,Sony Computer Entertainment,,Action,,2004,,,,,1.27
Battle Arena Toshinden,PS,Sony Computer Entertainment,Tamsoft,Fighting,T,1994,69,4,6.3,4,1.27
WWE '13,X360,THQ,"THQ, Yuke's",Action,T,2012,78,46,8,110,1.27
Final Fantasy X / X-2 HD Remaster,PS3,Square Enix,Virtuos,Role-Playing,T,2013,85,50,8.5,332,1.27
Need for Speed Rivals,PS3,Electronic Arts,Ghost Games,Racing,E10+,2013,80,6,4.9,123,1.27
EA Sports Active 2,Wii,Electronic Arts,EA Canada,Sports,E,2010,79,8,8.1,22,1.26
Rockstar Games presents Table Tennis,Wii,Take-Two Interactive,Rockstar San Diego,Sports,E,2007,68,36,5.8,21,1.26
Devil Dice,PS,THQ,,Puzzle,,1998,,,,,1.26
Football Manager 2011,PC,Sega,Sports Interactive,Sports,E,2010,85,23,8.4,77,1.26
Brian Lara Cricket,PS,Codemasters,,Sports,,1998,,,,,1.26
Championship Manager 03/04,PC,Eidos Interactive,,Sports,,2003,,,,,1.26
Wheel of Fortune,PS,Hasbro Interactive,,Misc,,1998,,,,,1.26
Tamagotchi Connection: Corner Shop,DS,Atari,NanaOn-Sha,Simulation,E,2005,59,20,7.7,6,1.26
Tomb Raider: Underworld,PS3,Eidos Interactive,Nixxes Software,Action,T,2008,75,42,7.2,166,1.26
Kung Fu Panda,DS,Activision,,Action,,2008,,,,,1.25
LEGO Battles,DS,Warner Bros. Interactive Entertainment,Hellbent Games,Strategy,E,2009,65,29,8.9,51,1.25
NBA Live 2001,PS,Electronic Arts,EA Sports,Sports,E,2000,86,10,8,6,1.25
Saints Row IV,PS3,Deep Silver,Volition Inc.,Action,M,2013,76,26,6.3,278,1.25
Star Wars: The Force Unleashed,PS2,LucasArts,Krome Studios,Action,T,2008,68,7,7.4,33,1.25
Combat,2600,Atari,,Action,,N/A,,,,,1.25
Watch Dogs,X360,Ubisoft,Ubisoft Montreal,Action,M,2014,,,5,332,1.25
SOCOM: U.S. Navy SEALs Confrontation,PS3,Sony Computer Entertainment,Slant Six,Shooter,M,2008,63,64,6.9,223,1.25
Dragon Ball: Daimaou Fukkatsu,NES,Namco Bandai Games,,Role-Playing,,1988,,,,,1.25
Gegege no Kitarou 2: Youkai Gundan no Chousen,NES,Namco Bandai Games,,Role-Playing,,1987,,,,,1.25
Reel Fishing,PS,Natsume,,Sports,,1996,,,,,1.25
Need for Speed: Most Wanted,X360,Electronic Arts,EA Canada,Racing,T,2005,83,54,8.5,134,1.25
Pokemon XD: Gale of Darkness,GC,Nintendo,Genius Sonority Inc.,Role-Playing,E,2005,64,27,8.3,74,1.25
Black,PS2,Electronic Arts,Criterion Games,Shooter,M,2006,79,62,8.4,194,1.25
Tom Clancy's Rainbow Six: Vegas,PS3,Ubisoft,Ubisoft Montreal,Shooter,M,2007,86,32,7.6,81,1.25
LittleBigPlanet PS Vita,PSV,Sony Computer Entertainment,"Tarsier Studios, Double Eleven",Platform,E,2012,88,71,8.6,348,1.25
Pokemon Super Mystery Dungeon,3DS,Nintendo,"Spike Chunsoft Co. Ltd., Spike Chunsoft",Role-Playing,E,2015,69,44,8.8,190,1.25
RollerCoaster Tycoon 2,PC,Atari,Chris Sawyer,Strategy,E,2002,74,22,8.5,135,1.25
Ratatouille,DS,THQ,,Action,,2007,,,,,1.25
Lara Croft Tomb Raider: The Angel of Darkness,PS2,Eidos Interactive,Core Design Ltd.,Action,T,2003,52,37,6.2,106,1.25
Tom Clancy's Splinter Cell: Pandora Tomorrow,PS2,Ubisoft,Ubisoft Shanghai,Action,T,2004,87,45,8.6,34,1.25
Road Rash 3D,PS,Electronic Arts,,Racing,,1998,,,,,1.25
Ratchet: Deadlocked,PS2,Sony Computer Entertainment,Insomniac Games,Shooter,T,2005,81,51,8.9,155,1.24
Winter Sports: The Ultimate Challenge,Wii,RTL,49Games,Sports,E,2007,52,15,6.8,4,1.24
Baldur's Gate: Dark Alliance,PS2,Virgin Interactive,Snowblind Studios,Role-Playing,T,2001,87,29,8.3,90,1.24
Oddworld: Abe's Oddysee,PS,GT Interactive,Oddworld Inhabitants,Platform,T,1997,85,10,9,96,1.24
Ridge Racer V,PS2,Namco Bandai Games,Namco,Action,E,2000,78,20,7.7,6,1.24
WWE SmackDown vs. Raw 2009,PS2,THQ,Yuke's,Fighting,T,2008,78,9,6.9,34,1.24
Tetris 2 (All region sales),GB,Nintendo,,Puzzle,,1992,,,,,1.24
LEGO Harry Potter: Years 5-7,Wii,Warner Bros. Interactive Entertainment,Traveller's Tales,Action,E10+,N/A,76,8,7.8,13,1.24
Star Wars Episode III: Revenge of the Sith,XB,Activision,Double Helix Games,Action,T,2005,61,44,8.1,54,1.24
[Prototype],PS3,Activision,Radical Entertainment,Action,M,2009,79,53,7.7,308,1.24
Transformers: Autobots / Decepticons,DS,Activision,,Action,,2007,,,,,1.24
FIFA Street,PS3,Electronic Arts,EA Sports,Sports,E,2012,76,36,6.4,66,1.23
Frogger: The Great Quest,PS2,Konami Digital Entertainment,Konami,Platform,E,2001,32,6,4.6,29,1.23
Madden NFL 17,XOne,Electronic Arts,EA Sports,Sports,E,2016,83,30,5.9,39,1.23
Ninja Gaiden,XB,Microsoft Game Studios,Team Ninja,Action,M,2004,91,89,8.8,152,1.23
Cars 2,DS,Disney Interactive Studios,,Racing,,2011,,,,,1.23
Crash Bandicoot: The Wrath of Cortex,XB,Universal Interactive,Traveller's Tales,Platform,E,2002,70,16,8.1,19,1.23
Driv3r,PS2,Atari,Reflections Interactive,Racing,M,2004,57,51,5.5,102,1.23
Assassin's Creed: Bloodlines,PSP,Ubisoft,Griptonite Games,Action,M,2009,63,38,7.2,69,1.23
Disney's Tarzan / Disney's Aladdin in Nasira's Revenge / Disney's The Emperor's New Groove Action Game,PS,Sony Computer Entertainment,,Misc,,2003,,,,,1.23
Kingdom Hearts II,PS3,Square Enix,,Role-Playing,,2014,,,,,1.23
LEGO The Lord of the Rings,X360,Warner Bros. Interactive Entertainment,TT Games,Action,E10+,2012,80,49,8.5,73,1.23
Kirby Tilt 'n' Tumble,GB,Nintendo,,Puzzle,,2000,,,,,1.23
SpongeBob SquarePants: Battle for Bikini Bottom,GBA,THQ,Vicarious Visions,Platform,E,2003,,,7.3,6,1.23
Vigilante 8,PS,Activision,,Racing,,1998,,,,,1.23
Hyrule Warriors,WiiU,Nintendo,Omega Force,Action,T,2014,76,81,8.3,662,1.23
Castlevania,NES,Konami Digital Entertainment,,Platform,,1986,,,,,1.23
Donkey Kong Country 2,GBA,Nintendo,Rare Ltd.,Platform,E,2004,80,22,9.1,37,1.23
Guitar Hero: Aerosmith,X360,Activision,Neversoft Entertainment,Misc,T,2008,70,59,6.7,48,1.23
"WarioWare, Inc.: Mega MicroGame$",GBA,Nintendo,,Puzzle,,2003,,,,,1.23
Need for Speed Carbon,PS3,Electronic Arts,EA Canada,Racing,E10+,2006,75,31,7.3,42,1.23
Ben 10: Protector of Earth,Wii,D3Publisher,High Voltage Software,Action,E10+,2007,63,6,7.7,9,1.23
2010 FIFA World Cup South Africa,PS3,Electronic Arts,EA Canada,Sports,E,2010,82,56,7.8,57,1.23
Tales of Xillia,PS3,Namco Bandai Games,Bandai Namco Games,Role-Playing,T,2011,78,65,8.2,468,1.22
Diddy Kong Racing DS,DS,Nintendo,Rare Ltd.,Racing,E,2007,63,39,7.5,27,1.22
Mario Power Tennis,GC,Nintendo,Camelot Software Planning,Sports,E,2004,80,43,8.5,48,1.22
Intelligent Qube,PS,Sony Computer Entertainment,,Puzzle,,1997,,,,,1.22
Pac-Man,NES,Namco Bandai Games,,Puzzle,,1984,,,,,1.22
Game & Watch Gallery 2,GB,Nintendo,,Misc,,1997,,,,,1.22
Game & Watch Gallery 3,GB,Nintendo,,Misc,,1999,,,,,1.22
Parfait: Chocolat Second Style,PS2,Alchemist,,Adventure,,2006,,,,,1.22
NBA Live 99,PS,Electronic Arts,,Sports,,1997,,,,,1.22
Chocobo no Fushigi Dungeon,PS,SquareSoft,,Role-Playing,,1997,,,,,1.22
Golden Sun: The Lost Age,GBA,Nintendo,Camelot Software Planning,Role-Playing,E,2002,86,29,9.5,150,1.22
SimCity 2000,PS,Maxis,,Simulation,,1996,,,,,1.22
Max Payne,XB,Take-Two Interactive,neo Software,Shooter,M,2001,89,24,8.3,61,1.22
WCW Mayhem,PS,Electronic Arts,,Fighting,,1998,,,,,1.22
NBA 2K2,PS2,Sega,Visual Concepts,Sports,E,2002,89,19,7.8,16,1.22
NASCAR Thunder 2003,PS2,Unknown,EA Sports,Racing,E,N/A,84,16,8.7,17,1.22
Cars,PS2,THQ,Rainbow Studios,Racing,E,2006,71,30,8.4,12,1.21
Fuzion Frenzy,XB,Microsoft Game Studios,Blitz Games,Misc,E,2001,70,28,6.9,16,1.21
Call of Duty: Finest Hour,XB,Activision,Spark Unlimited,Shooter,T,2004,73,55,7.8,22,1.21
Final Fantasy IV,DS,Square Enix,Matrix Software,Simulation,E10+,2007,85,52,7.7,164,1.21
Star Wars: Battlefront II,PSP,LucasArts,Savage Entertainment,Shooter,T,2005,69,22,8.5,111,1.21
Super Street Fighter IV: 3D Edition,3DS,Capcom,Capcom,Fighting,T,2011,85,69,8.1,206,1.21
Sly Cooper and the Thievius Raccoonus,PS2,Sony Computer Entertainment,Sucker Punch,Platform,E,2002,86,41,8.6,184,1.21
WWE 2K16,PS4,Take-Two Interactive,Yuke's,Sports,T,2015,73,47,7.4,237,1.21
Star Wars Episode 1: Jedi Power Battles,PS,LucasArts,,Action,,1999,,,,,1.21
Dino Crisis 2,PS,Virgin Interactive,Capcom,Action,M,2000,86,13,9,91,1.21
The Magical Quest starring Mickey Mouse,SNES,Capcom,,Platform,,1992,,,,,1.21
Dragon Quest IV: Michibikareshi Monotachi,PS,Enix Corporation,,Role-Playing,,2001,,,,,1.21
Need for Speed Underground,GC,Electronic Arts,Electronic Arts,Racing,E,2003,83,24,9,45,1.21
Naruto Shippuden: Ultimate Ninja Storm 2,PS3,Namco Bandai Games,CyberConnect2,Fighting,T,2010,76,34,8.3,130,1.21
Medal of Honor: Airborne,PS3,Electronic Arts,Electronic Arts,Shooter,T,2007,75,16,7.6,39,1.21
Battlefield: Hardline,XOne,Electronic Arts,Visceral Games,Shooter,M,2015,71,27,5.1,299,1.21
Shrek / Shrek 2 2-in-1 Gameboy Advance Video,GBA,N/A,,Misc,,2007,,,,,1.21
Bayonetta,PS3,Sega,Nex Entertainment,Action,M,2009,87,54,7.7,355,1.21
Test Drive 4,PS,Electronic Arts,,Racing,,1997,,,,,1.21
Boom Blox,Wii,Electronic Arts,EA LA,Puzzle,E,2008,85,61,8.6,105,1.21
World Soccer Winning Eleven 9 (JP & Others sales),PSP,Konami Digital Entertainment,,Sports,,2005,,,,,1.2
The Lord of the Rings: The Fellowship of the Ring,PS2,Black Label Games,Surreal Software,Action,T,2002,59,19,5.1,20,1.2
The Sims 2: Castaway,Wii,Electronic Arts,Maxis,Simulation,T,2007,73,19,8.2,10,1.2
FIFA Soccer 07,PSP,Electronic Arts,,Sports,,2006,,,,,1.2
ATV Offroad Fury 3,PS2,SouthPeak Games,Climax Group,Racing,E,2004,78,37,8.4,16,1.2
F1 2011,PS3,Codemasters,Codemasters,Racing,E,2011,82,36,7.1,55,1.2
Farming Simulator 2015,PC,Focus Home Interactive,,Simulation,,2014,,,,,1.2
Pikmin 2,GC,Nintendo,Nintendo,Strategy,E,2004,90,54,9.1,137,1.2
NFL 2K,DC,Sega,,Sports,,1999,,,,,1.2
SolarStriker,GB,Nintendo,,Shooter,,1989,,,,,1.2
TwinBee,NES,Konami Digital Entertainment,,Shooter,,1986,,,,,1.2
Ganbare Goemon! Karakuri Douchuu,NES,Konami Digital Entertainment,,Platform,,1986,,,,,1.2
Dragon Ball Z: La Legende Saien,SNES,Namco Bandai Games,,Fighting,,1993,,,,,1.2
Enter the Matrix,XB,Atari,Shiny Entertainment,Action,T,2003,65,33,7.1,75,1.2
Cars,PSP,THQ,Locomotive Games,Racing,E,2006,70,17,7,4,1.2
NHL 2002,PS2,Electronic Arts,EA Sports,Sports,E,2001,92,22,8.5,26,1.2
FIFA Soccer 11,PSP,Electronic Arts,EA Sports,Sports,E,2010,68,6,5.4,9,1.2
Nuclear Strike,PS,Electronic Arts,,Simulation,,1997,,,,,1.19
The Simpsons: Road Rage,GBA,THQ,Altron,Racing,E,2003,55,14,6.8,9,1.19
LEGO Batman 2: DC Super Heroes,PS3,Warner Bros. Interactive Entertainment,Traveller's Tales,Action,E10+,2012,81,28,7.5,81,1.19
Captain Toad: Treasure Tracker,WiiU,Nintendo,Nintendo EAD Tokyo,Puzzle,E,2014,81,78,8.6,377,1.19
SpongeBob SquarePants: Revenge of the Flying Dutchman,GBA,THQ,Vicarious Visions,Platform,E,2002,71,4,7.7,7,1.19
Pro Evolution Soccer 2008,Wii,Konami Digital Entertainment,Konami,Sports,E,2008,83,19,8.4,43,1.19
Destiny: The Taken King,XOne,Activision,"Bungie Software, Bungie",Shooter,T,2015,89,11,5.2,393,1.19
Scarface: The World is Yours,PS2,Vivendi Games,Radical Entertainment,Action,M,2006,75,46,8.6,113,1.19
Disney's Chip 'n Dale: Rescue Rangers,NES,Capcom,,Platform,,1990,,,,,1.19
Kobe Bryant in NBA Courtside,N64,Nintendo,,Sports,,1998,,,,,1.19
The Dukes of Hazzard: Racing for Home,PS,Ubisoft,,Racing,,1999,,,,,1.19
Hitman 2: Silent Assassin,XB,Eidos Interactive,Io Interactive,Action,M,N/A,84,23,8,19,1.19
Disney Sing It,Wii,Disney Interactive Studios,Zoe Mode,Misc,E,2008,,,tbd,,1.19
WWE SmackDown vs Raw 2008,PSP,THQ,Yuke's,Fighting,T,2007,68,11,7.8,15,1.19
Spider-Man: The Movie,GC,Activision,Treyarch,Action,E,2002,76,14,7.3,11,1.19
Final Fantasy I & II: Dawn of Souls,GBA,Nintendo,,Role-Playing,,2004,,,,,1.19
Mario vs. Donkey Kong 2: March of the Minis,DS,Nintendo,"Nintendo, Nintendo Software Technology",Puzzle,E,2006,76,32,7.9,17,1.19
Metal Gear Solid: Portable Ops,PSP,Konami Digital Entertainment,Kojima Productions,Action,M,2006,87,54,8.2,147,1.18
Metal Gear Solid VR Missions,PS,Konami Digital Entertainment,,Adventure,,1999,,,,,1.18
LEGO Indiana Jones 2: The Adventure Continues,DS,Activision,TT Fusion,Action,E,2009,59,4,tbd,,1.18
Mario & Sonic at the London 2012 Olympic Games,3DS,Sega,,Sports,,2012,,,,,1.18
Pole Position,2600,Atari,,Racing,,1982,,,,,1.18
Injustice: Gods Among Us,PS3,Warner Bros. Interactive Entertainment,NetherRealm Studios,Fighting,T,2013,78,37,7.9,282,1.18
Mario Tennis,GB,Nintendo,,Sports,,2000,,,,,1.18
Shenmue,DC,Sega,Sega AM2,Adventure,T,1999,88,9,9.4,201,1.18
Pro Yakyuu Family Stadium '88,NES,Namco Bandai Games,,Sports,,1988,,,,,1.18
Just Dance 4,X360,Ubisoft,Ubisoft,Misc,E10+,2012,77,23,7.7,36,1.18
Tony Hawk's Pro Skater 2,GBA,Activision,Vicarious Visions,Sports,E,2001,95,16,7.5,22,1.18
One Piece: Pirate Warriors,PS3,Namco Bandai Games,"Omega Force, Tecmo Koei Games",Action,T,2012,64,33,6.5,55,1.18
Super Ghouls 'n Ghosts,SNES,Capcom,,Platform,,1991,,,,,1.18
Soviet Strike,PS,Electronic Arts,,Simulation,,1996,,,,,1.17
